,state,over_21,pop_total,white,black,native,asian,pacific,multiracial,white_pct,black_pct,native_pct,asian_pct,pacific_pct,multiracial_pct,nonwhite_pct
0,Alabama,3608467,4903185,3326375,1319551,23265,66129,1241,91522,67.84110736184745,26.912119367309206,0.47448750149137753,1.3486947769664004,0.02531007906085534,1.8665826396515732,32.15889263815255
1,Alaska,523018,731545,469771,22551,115544,43678,-999999999,57476,64.21628197855225,3.082653835375814,15.794517083706403,5.970651156114798,-136696.9904790546,7.856796232630939,35.783718021447754
2,Arizona,5332094,7278717,5701810,343729,332273,241721,3464,280574,78.33537146725172,4.722384453194155,4.564994077939835,3.3209286746551623,0.04759080480804515,3.8547178026017495,21.66462853274828
3,Arkansas,2192034,3017804,2315020,467468,17216,46078,-999999999,83603,76.7120727522397,15.49033668190512,0.5704810517846752,1.5268718578144902,-33136.67816067577,2.7703257070373026,23.287927247760294
4,California,29044071,39512223,23484958,2282144,321112,5865435,25912,1978145,59.43719744647118,5.775792468067413,0.8126902907993813,14.844608970748116,0.06557970681629327,5.006412825722309,40.56280255352882
5,Colorado,4279893,5758736,4822379,240538,57578,188461,3200,232943,83.74023396800965,4.176923547111727,0.9998374643324507,3.2726105173079647,0.05556774958949325,4.045036966445414,16.259766031990353
6,Connecticut,2685230,3565287,2660228,396745,9052,166393,-999999999,131068,74.61469441310055,11.127996147294734,0.2538926038773316,4.667029610799916,-28048.232835112573,3.6762257849087607,25.38530558689945
7,Delaware,729636,973764,659719,219418,4353,36592,-999999999,30167,67.74937253790446,22.532975135659154,0.44702823271347064,3.757789361693388,-102694.28721949055,3.0979785656483503,32.25062746209554
8,District of Columbia,544046,705749,300058,320704,1886,28722,-999999999,23321,42.516248694649235,45.44165135196791,0.2672338182554988,4.069718837717092,-141693.4347763865,3.304432595724542,57.483751305350765
9,Florida,16467996,21477737,16010079,3441062,59558,599799,3912,631552,74.54267179079434,16.021529642531707,0.27730109554838106,2.7926545520135573,0.018214209439290554,2.940496012219537,25.457328209205656
10,Georgia,7645283,10617423,6131699,3390968,42316,439416,2293,284421,57.75129238045804,31.937768703384993,0.3985524547717464,4.13863137976136,0.021596577625286287,2.67881387037137,42.24870761954196
11,Hawaii,1069806,1415872,341211,26923,6129,547843,90070,316468,24.099000474619174,1.9015136961533248,0.43287811327577636,38.692975071192876,6.361450752610405,22.351455498802153,75.90099952538083
12,Idaho,1266533,1787065,1596918,12708,22867,25969,921,58700,89.35981623499984,0.7111101163080247,1.2795841225696885,1.4531648261255188,0.051537017400038604,3.2847154412402455,10.64018376500016
13,Illinois,9356390,12671821,9044059,1790212,32600,717992,2312,351933,71.37142325479503,14.127503852840093,0.25726373502277217,5.666052258787431,0.018245207220019915,2.7772882839806527,28.628576745204967
14,Indiana,4871760,6732219,5571899,643105,18416,170566,743,174283,82.76467239107937,9.552645271937827,0.27355022170253224,2.533577710410193,0.011036479948141912,2.588789818037708,17.235327608920628
15,Iowa,2294466,3155070,2835536,129335,11837,76134,-999999999,68248,89.87236416307721,4.099275134941538,0.37517392641050756,2.413068489764094,-31695.017828447544,2.16312157891901,10.127635836922792
16,Kansas,2082728,2913314,2436902,167237,23860,87018,503,108771,83.64707683414832,5.740438552109384,0.8189985700133937,2.9869076934377827,0.017265560801204404,3.7335831290413597,16.352923165851678
17,Kentucky,3277406,4467673,3873691,363167,8326,73087,1327,104158,86.70489089062696,8.128773077170152,0.18636099821987867,1.635907551873201,0.029702263348279967,2.3313702681463035,13.295109109373044
18,Louisiana,3371916,4648794,2874784,1504017,28561,81506,-999999999,93067,61.83935016264434,32.352842479146204,0.6143743947354948,1.7532719238581018,-21510.95529292113,2.001960078248251,38.16064983735566
19,Maine,1049640,1344212,1263287,21983,9419,15323,-999999999,28536,93.97974426652938,1.6353819189235033,0.7007079240476949,1.1399243571698512,-74393.02721594511,2.122879426757089,6.02025573347062
20,Maryland,4476458,6045680,3296909,1830059,19164,386194,962,205558,54.53330311892128,30.270523745881356,0.3169866747826547,6.387933201889613,0.015912188537931218,3.400080718794247,45.46669688107872
21,Massachusetts,5236619,6892503,5305385,543629,17875,472895,1076,250459,76.97327081322996,7.887250828907873,0.2593397492899169,6.861005356109384,0.015611164768444786,3.63378877020438,23.02672918677004
22,Michigan,7428907,9986857,7812165,1371069,57785,327230,507,302340,78.22446040831464,13.728733674668616,0.5786104677377477,3.2766064438491513,0.0050766722703649405,3.0273788840673297,21.77553959168536
23,Minnesota,4122678,5639632,4627588,370291,57414,285630,1227,186583,82.05478655344888,6.565871673896454,1.018045149045186,5.06469216431143,0.02175673873756302,3.3084250887291935,17.945213446551122
24,Mississippi,2131424,2976149,1726970,1130608,14634,31154,-999999999,43664,58.02700066428126,37.98895821412167,0.4917092524601423,1.0467889880513375,-33600.468222525145,1.4671308459354688,41.97299933571874
25,Missouri,4522768,6137428,5022939,703058,25516,127154,2295,172253,81.84110673070218,11.45525454636698,0.41574418469756386,2.071779905198073,0.037393514025744985,2.8065991161118307,18.15889326929782
26,Montana,798199,1068778,940423,7787,67603,8927,-999999999,36517,87.99049007371035,0.7285890989522614,6.325261186139684,0.8352529711502296,-93564.80008009147,3.4167058079414057,12.009509926289653
27,Nebraska,1377093,1934408,1666763,94659,18964,47740,779,53383,86.16398401991721,4.893435097456172,0.9803516114490842,2.4679385114205483,0.040270718483380964,2.759655667263576,13.836015980082792
28,Nevada,2281239,3080156,1989116,296184,42426,261159,9428,144208,64.57841745677815,9.615876598458001,1.3773977681649892,8.478758868057332,0.3060883929255531,4.681840789882071,35.421582543221845
29,New Hampshire,1045381,1359711,1258576,22000,1727,35807,-999999999,30205,92.5620223709303,1.6179908818859303,0.12701228422804553,2.6334272503495226,-73545.04001217906,2.2214279357892965,7.437977629069707
30,New Jersey,6620377,8882190,5964295,1203843,18440,856561,568,264429,67.14892385774229,13.5534479672243,0.2076064574164705,9.643578892142592,0.006394819295691716,2.9770698442613814,32.85107614225771
31,New Mexico,1536368,2096829,1549953,48337,199341,36549,-999999999,72444,73.9189032582056,2.3052428214222527,9.506783814989204,1.7430605929238865,-47691.06107364978,3.4549312318744163,26.081096741794397
32,New York,14674437,19453561,12293680,3084304,73560,1680219,3152,649298,63.19501092884743,15.854701357761696,0.37813128403586366,8.637076779927336,0.01620268906037306,3.3376819801783335,36.80498907115257
33,North Carolina,7730808,10488084,7144510,2253481,126708,309905,3684,295137,68.12025914361479,21.486107472060674,1.2081138938246492,2.9548294998400086,0.03512557679743984,2.814022084491314,31.87974085638521
34,North Dakota,553228,762062,653910,22256,40970,10669,-999999999,25145,85.80797887835898,2.92049728237335,5.376202986108742,1.400017321425291,-131222.91873889527,3.299600294989122,14.19202112164102
35,Ohio,8627797,11689100,9452650,1467331,23544,274585,1656,343341,80.86721817761845,12.552985259771923,0.2014184154468693,2.3490687905826797,0.0141670445115535,2.937274897126383,19.132781822381546
36,Oklahoma,2831196,3956971,2865785,287414,316929,89950,1180,300165,72.42370489953048,7.263485125364831,8.009383945447162,2.2732034174624984,0.029820789689891585,7.585726557005346,27.576295100469522
37,Oregon,3200622,4217737,3523853,77918,50417,194068,2715,207325,83.5484289323872,1.8473887774415523,1.1953566568991856,4.601235212152868,0.0643710122276472,4.915550685118584,16.451571067612804
38,Pennsylvania,9660388,12801989,10193792,1454753,27088,453662,1480,332708,79.62662676869977,11.363492032370907,0.21159212056813984,3.5436837197719826,0.011560703575046034,2.5988774088151456,20.373373231300235
39,Puerto Rico,2480442,3193694,2054764,395439,3082,6573,-999999999,227090,64.33816138928776,12.381868770145168,0.09650267057520226,0.20581182793342132,-31311.703594646202,7.1105747764187806,35.66183861071224
40,Rhode Island,800805,1059361,833690,78143,3341,37101,-999999999,44600,78.69744119332314,7.376427865477396,0.31537879910625366,3.502205574870134,-94396.52762372789,4.210085136228349,21.302558806676856
41,South Carolina,3813659,5148714,3434467,1362917,18971,86571,898,125531,66.70533651704096,26.471017811437964,0.3684609399551034,1.6814101540695403,0.017441248436017225,2.438103961494074,33.29466348295904
42,South Dakota,635739,884659,743764,20866,75809,11530,-999999999,24698,84.07352437492864,2.3586489257442698,8.569290540196844,1.303327044657885,-113037.90488764599,2.7918101777068904,15.926475625071362
43,Tennessee,5043319,6829174,5272910,1141304,20431,125742,1740,156246,77.21153392782202,16.71218217605819,0.29917234500102063,1.8412475652253113,0.025478923219704172,2.2879194467735045,22.788466072177982
44,Texas,20340329,28995881,21273326,3553922,144993,1446073,7682,835927,73.36671715544702,12.256644314411416,0.5000468859697693,4.987166970370723,0.026493418151357428,2.882916370087186,26.63328284455298
45,Utah,2127694,3205958,2799527,36918,35368,76470,1383,103574,87.32263491910999,1.1515434700017904,1.103195986971757,2.3852464692301023,0.04313843163260404,3.2306723918404416,12.677365080890013
46,Vermont,478059,623989,585117,9435,2928,8603,-999999999,15367,93.7704030038991,1.5120458854242622,0.4692390410728394,1.378710201622144,-160259.23517882527,2.4627036694557116,6.229596996100895
47,Virginia,6320168,8535519,5714646,1659908,23388,565643,1540,320232,66.95135937252323,19.447065843330673,0.2740079425750209,6.626931531638556,0.01804225378679375,3.751757801722426,33.04864062747677
48,Washington,5675664,7614893,5651091,305924,103882,684967,7928,453495,74.21103618921501,4.017443186660666,1.3641951370820313,8.995096845090272,0.10411177149829945,5.955369300658591,25.788963810784992
49,West Virginia,1365932,1792147,1668004,65925,3601,14311,-999999999,32250,93.072945467085,3.6785486904813056,0.20093217799655944,0.798539405528676,-55798.99411153215,1.7995175618964292,6.927054532914994
50,Wisconsin,4317545,5822434,4963354,374747,54577,167420,1191,137034,85.2453458467713,6.436260161987238,0.9373571259030158,2.875429760131244,0.02045536282592469,2.353551796379315,14.7546541532287
51,Wyoming,418893,578759,525860,7116,13774,4633,-999999999,15823,90.85992615233629,1.2295273162058817,2.379919793903853,0.8005059100592821,-172783.4900191617,2.7339531653071485,9.140073847663714
